Word,Zipf-value,,
acnes,1.59286413780844,,
acolyte,2.1949241291364,,
acolytes,2.13693218215872,,
acoma,1.89389413347242,,
aconitum,1.99080414648048,,
acorn,2.87161773876127,,
acorns,2.59286413780844,,
acoustic,2.99080414648048,,
acoustical,2.13693218215872,,
acoustically,1.59286413780844,,
acoustics,2.65356197816205,,
acquaint,2.61405343687838,,
acquaintance,3.72958470496485,,
acquaintances,3.0321968316387,,
acquaintanceship,1.99080414648048,,
acquainted,3.65732212703536,,
acquainting,1.76895539686412,,
acquiesce,1.89389413347242,,
acquiesced,2.0699853925281,,
acquiescence,2.0699853925281,,
acquiescent,1.59286413780844,,
acquiescing,1.76895539686412,,
acquire,3.42537305051468,,
acquired,3.65166962448435,,
acquirer,1.59286413780844,,
acquires,2.24607665158378,,
acquiring,2.93528681863065,,
acquisition,3.16689540553616,,
acquisitions,2.82331305918672,,
acquisitive,1.89389413347242,,
acquisitiveness,1.59286413780844,,
acquit,2.6897741508165,,
acquittal,2.87161773876127,,
acquittals,1.59286413780844,,
acquitted,3.1894612334349,,
acquitting,2.13693218215872,,
acre,3.26496199574416,,
acreage,2.65356197816205,,
acres,3.6629020044162,,
acrid,1.76895539686412,,
acrimonious,2.1949241291364,,
acrimony,2.37101538819208,,
acrobat,2.78319583597873,,
acrobatic,2.4057774944513,,
acrobatics,2.37101538819208,,
acrobats,2.59286413780844,,
acromegalia,2.33322682730268,,
acromion,1.76895539686412,,
acronym,2.49595412480038,,
acronyms,2.1949241291364,,
acrophobia,2.33322682730268,,
acropolis,2.13693218215872,,
across,4.97325629786547,,
acrylic,2.67204538385607,,
acrylics,1.89389413347242,,
act,5.03737734414248,,
acted,4.03140648659455,,
actg,1.59286413780844,,
actin,3.0321968316387,,
acting,4.71932025124025,,
actings,1.59286413780844,,
actinic,1.59286413780844,,
action,4.78543159114499,,
actionable,2.4379621778227,,
actioner,1.59286413780844,,
actions,4.08492574232104,,
activate,3.6702320430926,,
activated,3.63622641582957,,
activates,2.52228306352273,,
activating,2.9450466559198,,
activation,2.93528681863065,,
activator,1.99080414648048,,
active,4.05899000822664,,
actively,2.92530259772405,,
actives,1.59286413780844,,
activism,2.29183414214446,,
activist,2.9994043182424,,
activists,2.57058774309729,,
activities,3.93528681863065,,
activity,4.11006003575842,,
actor,4.42023341086227,,
actors,4.10139385677973,,
actory,1.59286413780844,,
actress,4.20458744581578,,
actresses,3.35629213137138,,
acts,4.09597357447981,,
actu,1.59286413780844,,
actual,4.23877741284229,,
actualisation,1.76895539686412,,
actualised,1.59286413780844,,
actualities,1.59286413780844,,
actuality,2.6897741508165,,
actualization,1.89389413347242,,
actualize,1.76895539686412,,
actually,5.50773595534849,,
actuals,1.76895539686412,,
actuarial,2.29183414214446,,
actuarially,1.59286413780844,,
actuaries,1.59286413780844,,
actuary,2.1949241291364,,
actuate,1.59286413780844,,
actuated,1.89389413347242,,
actuating,1.59286413780844,,
actuation,1.59286413780844,,
actuator,1.76895539686412,,
actuators,1.76895539686412,,
